,title,author,major,tutor,time,url
0,高功率因素无频闪LED驱动电源设计,曾祺安(硕士),电子与通信工程(专业学位),袁飞,2019-11-08 10:00,https://gs.xmu.edu.cn/info/1220/4504.htm
1,基于海洋水质浮标的厦门湾叶绿素a变化特征及驱动因子分析,王晨玉(硕士),物理海洋学,张彩云,2019-11-05 09:00,https://gs.xmu.edu.cn/info/1220/4483.htm
2,高等级路面综合评价体系及路面裂缝图像识别研究,何雪娇(硕士),建筑与土木工程(专业学位),张建国,2019-11-06 14:30,https://gs.xmu.edu.cn/info/1220/4443.htm
3,商业银行供应链金融风险控制评估研究 ——以M商业银行为例,何文巧(硕士),金融硕士(专业学位),朱孟楠,2019-11-09 08:30,https://gs.xmu.edu.cn/info/1220/4521.htm
4,可转债下修转股价公告效应及影响因素研究,杨超(硕士),金融硕士(专业学位),陈海强,2019-11-09 14:30,https://gs.xmu.edu.cn/info/1220/4520.htm
5,区域金融发展对地区企业并购行为的影响——基于中国资本市场的实证发现,吴怡婷(硕士),金融硕士(专业学位),蔡庆丰,2019-11-09 14:30,https://gs.xmu.edu.cn/info/1220/4519.htm
6,我国银行承兑汇票贴现利率影响因素研究,潘浩(硕士),金融硕士(专业学位),卢宝梅,2019-11-09 14:30,https://gs.xmu.edu.cn/info/1220/4518.htm
7,我国利率市场化对中小企业融资约束的影响,蒋英杰(硕士),金融硕士(专业学位),郭晔,2019-11-09 14:30,https://gs.xmu.edu.cn/info/1220/4517.htm
8,中国上市银行高管薪酬与综合经营绩效相关性的实证分析,叶涵哲(硕士),金融硕士(专业学位),吴丽华,2019-11-09 14:30,https://gs.xmu.edu.cn/info/1220/4516.htm
9,我国商业银行盈利结构及非利息收入影响因素研究,廖滢(硕士),金融硕士(专业学位),吴丽华,2019-11-09 14:30,https://gs.xmu.edu.cn/info/1220/4515.htm
10,互联网金融对商业银行盈利的影响研究,黄丽琴(硕士),金融硕士(专业学位),吴丽华,2019-11-09 14:30,https://gs.xmu.edu.cn/info/1220/4514.htm
11,人民币汇率、短期资本流动互动研究----基于风险管理的视角,刘伟杰(硕士),保险硕士(专业学位),吴丽华,2019-11-09 14:30,https://gs.xmu.edu.cn/info/1220/4513.htm
12,等离激元模式的超灵敏表征及应用研究,高敏(博士),光学,杨志林,2019-11-08 08:15,https://gs.xmu.edu.cn/info/1220/4505.htm
13,A股股票收益率的领滞效应实证研究,吴游颖(硕士),金融硕士(专业学位),陈海强,2019-11-09 08:30,https://gs.xmu.edu.cn/info/1220/4531.htm
14,被并方高管薪酬与并购绩效——参照契约参照点理论,王潇杨(硕士),金融硕士(专业学位),黄娟娟,2019-11-09 08:30,https://gs.xmu.edu.cn/info/1220/4530.htm
